Nº Convênio,Link Externo,UF,Município,CNPJ,Nome Proponente,Modalidade,Emenda,Objeto,Situação,Órgão Concedente,Natureza Jurídica,Início Vigência,Fim Vigência,Qtd Instrumentos,Vl Global,Vl Liberado,Movimentação Financeira,Saldo em Conta,Vl Devolvido,Diff_Pedido_Liberado
883581,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Projeto Rota Biológica - BIOPAL II (Biorrefinarias Integradas ao Processamento Sustentável da Palma II), de acordo com o Plano de Trabalho devidamente aprovado.",Aguardando Prestação de Contas,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,2019-08-12 00:00:00,2020-05-12 00:00:00,1,209487.34,209487.34,184537.4,26641.26,0.0,0.0
883675,Acesso Livre,PR,CURITIBA,76591569000130,ASSOCIACAO HOSPITALAR DE PROT INFANCIA DR RAUL CARNEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-11 00:00:00,2021-05-22 00:00:00,1,149800.0,149252.0,149252.0,120.49,0.0,548.0
883676,Acesso Livre,PR,CURITIBA,76591569000130,ASSOCIACAO HOSPITALAR DE PROT INFANCIA DR RAUL CARNEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-11 00:00:00,2021-05-22 00:00:00,1,199991.0,151424.0,151424.0,140.8,0.0,48567.0
883677,Acesso Livre,PR,CURITIBA,76591569000130,ASSOCIACAO HOSPITALAR DE PROT INFANCIA DR RAUL CARNEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-11 00:00:00,2021-05-22 00:00:00,1,199700.0,17500.0,17500.0,14.16,0.0,182200.0
883678,Acesso Livre,PR,CURITIBA,76591569000130,ASSOCIACAO HOSPITALAR DE PROT INFANCIA DR RAUL CARNEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-11 00:00:00,2020-12-31 00:00:00,1,350000.0,289500.0,289500.0,48.59,0.0,60500.0
883679,Acesso Livre,PR,ARAPONGAS,04169712000190,ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-17 00:00:00,2021-01-14 00:00:00,1,200000.0,200000.0,200000.0,514.49,0.0,0.0
883680,Acesso Livre,PR,COLORADO,77251544000150,FUNDACAO VALE DO PARANAPANEMA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-10-03 00:00:00,2021-03-21 00:00:00,1,250000.0,216890.2,216890.2,182.88,0.0,33109.79999999999
883681,Acesso Livre,PR,ARAPONGAS,04169712000190,ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-17 00:00:00,2020-12-31 00:00:00,1,125000.0,125000.0,125000.0,331.86,0.0,0.0
883682,Acesso Livre,PR,ARAPONGAS,04169712000190,ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-17 00:00:00,2020-12-31 00:00:00,1,200500.0,194000.0,194000.0,732.1,0.0,6500.0
883683,Acesso Livre,PR,ARAPONGAS,04169712000190,ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-17 00:00:00,2021-01-13 00:00:00,1,3800000.0,3666197.7,3666187.7,10003.27,0.0,133802.2999999998
883684,Acesso Livre,PR,TOLEDO,06958776000103,HOESP - ASSOCIACAO BENEFICENTE DE SAUDE DO OESTE DO PARANA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-11 00:00:00,2020-12-31 00:00:00,1,1000000.0,915600.0,915600.0,7347.58,0.0,84400.0
883685,Acesso Livre,PR,LONDRINA,07194341000194,HOFTALON CENTRO DE ESTUDO E PESQUISA DA VISAO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-30 00:00:00,2021-04-09 00:00:00,1,150000.0,120624.0,120624.0,30.97,0.0,29376.0
883686,Acesso Livre,PR,PATO BRANCO,00136858000188,CONSORCIO INTERMUNICIPAL DE SAUDE,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Consórcio Público,2019-12-16 00:00:00,2020-12-31 00:00:00,1,330000.0,0.0,0.0,0.0,0.0,330000.0
883687,Acesso Livre,PR,PIRAQUARA,07070735000130,"ASSOCIACAO SAN JULIAN, AMIGOS E COLABORADORES",CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-11 00:00:00,2021-05-28 00:00:00,1,250000.0,68533.0,68533.0,61.81,0.0,181467.0
883688,Acesso Livre,PR,LONDRINA,07194341000194,HOFTALON CENTRO DE ESTUDO E PESQUISA DA VISAO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-30 00:00:00,2020-12-31 00:00:00,1,910000.0,0.0,0.0,0.0,0.0,910000.0
883689,Acesso Livre,PR,IRATI,00358098000153,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DA AMCESPAR,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Consórcio Público,2019-12-16 00:00:00,2020-12-31 00:00:00,1,230000.0,0.0,0.0,0.0,0.0,230000.0
883690,Acesso Livre,PR,REBOUCAS,80672561000176,HOSPITAL DE CARIDADE DONA DARCY VARGAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-30 00:00:00,2021-07-03 00:00:00,1,100000.0,81162.0,31195.0,50062.66,0.0,18838.0
883691,Acesso Livre,PR,JACAREZINHO,00476612000155,CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE DO NORTE PIONEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Consórcio Público,2019-12-16 00:00:00,2020-12-31 00:00:00,1,230000.0,181998.0,54998.0,127210.94,0.0,48002.0
883692,Acesso Livre,PR,CORNELIO PROCOPIO,76256064000110,CASA DE MISERICORDIA DE CORNELIO PROCOPIO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-26 00:00:00,2020-12-31 00:00:00,1,150000.0,0.0,0.0,0.0,0.0,150000.0
883693,Acesso Livre,PR,CURITIBA,07404052000172,CRUZ VERMELHA BRASILEIRA - FILIAL DO ESTADO DO PARANA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-10 00:00:00,2021-03-25 00:00:00,1,100350.0,60139.0,56872.0,3318.37,0.0,40211.0
883694,Acesso Livre,PR,CAMPO MOURAO,95640322000101,CONSORCIO INT DE SAUDE DA COM DOS M DA REG DE C MOURAO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Consórcio Público,2019-12-17 00:00:00,2020-12-31 00:00:00,1,230000.0,0.0,0.0,0.0,0.0,230000.0
883695,Acesso Livre,PR,PATO BRANCO,00136858000188,CONSORCIO INTERMUNICIPAL DE SAUDE,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Consórcio Público,2019-12-16 00:00:00,2020-12-31 00:00:00,1,274269.0,41200.0,41200.0,2.13,0.0,233069.0
883696,Acesso Livre,PR,CURITIBA,81190449000161,FUNDACAO DE ESTUDOS DAS DOENCAS DO FIGADO - KOUTOULAS -RIBEIRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-03 00:00:00,2020-12-31 00:00:00,1,200000.0,49850.0,0.0,49857.49,0.0,150150.0
883697,Acesso Livre,PR,CIANORTE,95641007000107,FUNDACAO HOSPITALAR DE SAUDE,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-11 00:00:00,2021-06-24 00:00:00,1,234800.0,220514.0,220514.0,173372.92,0.0,14286.0
883744,Acesso Livre,PR,IVAIPORA,07597753000175,INSTITUTO DE SAUDE BOM JESUS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Prestação de Contas Iniciada Por Antecipação,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-10-02 00:00:00,2020-12-31 00:00:00,1,150000.0,149800.0,149800.0,0.0,0.07,200.0
883747,Acesso Livre,PR,CANDOI,08325231000187,INSTITUTO DE SAUDE SANTA CLARA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Prestação de Contas Iniciada Por Antecipação,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-17 00:00:00,2021-05-22 00:00:00,1,499800.0,497945.0,497945.0,1082.36,0.0,1855.0
883748,Acesso Livre,PR,ARAPONGAS,75403287000108,IRMANDADE DA SANTA CASA DE ARAPONGAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-10-03 00:00:00,2020-12-31 00:00:00,1,1549637.0,1054929.0,1054929.0,4736.31,0.0,494708.0
883751,Acesso Livre,PR,CURITIBA,76613835000189,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CURITIBA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-26 00:00:00,2021-04-29 00:00:00,1,399999.0,73697.1,73697.1,10.16,0.0,326301.9
883753,Acesso Livre,PR,TERRA BOA,77238947000160,IRMANDADE DA STA CASA DE S VICENTE DE PAULO DE TERRA B,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-10 00:00:00,2021-06-20 00:00:00,1,150000.0,133650.0,107650.0,26185.05,0.0,16350.0
883756,Acesso Livre,PR,MARINGA,79115762000193,IRMANDADE SANTA CASA DE MISERICORDIA DE MARINGA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-11 00:00:00,2021-03-21 00:00:00,1,300000.0,283340.0,283340.0,316.71,0.0,16660.0
883757,Acesso Livre,PR,CURITIBA,76591049000128,LIGA PARANAENSE DE COMBATE AO CANCER,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ALTA COMPLEXIDADE EM ONCOLOGIA,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-12 00:00:00,2021-05-23 00:00:00,1,200000.0,198000.0,198000.0,36.68,0.0,2000.0
883760,Acesso Livre,PR,JACAREZINHO,78209558000179,MISERICORDIA DE JACAREZINHO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-11 00:00:00,2021-03-25 00:00:00,1,110000.0,75224.52,56494.0,19024.07,0.0,34775.479999999996
883763,Acesso Livre,PR,SARANDI,05550451000116,REDE DE ASSISTENCIA A SAUDE METROPOLITANA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-10 00:00:00,2021-03-19 00:00:00,1,200000.0,192990.0,192990.0,145.12,0.0,7010.0
883765,Acesso Livre,PR,SARANDI,05550451000116,REDE DE ASSISTENCIA A SAUDE METROPOLITANA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-10 00:00:00,2021-03-19 00:00:00,1,650000.0,594450.0,594450.0,388.74,0.0,55550.0
883768,Acesso Livre,PR,GOIOERE,75887471000162,SANTA CASA DE MISERICORDIA MARIA ANTONIETA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-20 00:00:00,2021-01-13 00:00:00,1,344800.0,336399.9,336399.9,2098.97,0.0,8400.099999999977
883769,Acesso Livre,PR,IBIPORA,78077906000100,ASSOCIACAO DA SANTA CASA DE IBIPORA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-10 00:00:00,2021-03-19 00:00:00,1,300000.0,282600.0,151000.0,132377.67,0.0,17400.0
883771,Acesso Livre,PR,LONDRINA,78613841000161,ASSOCIACAO EVANGELICA BENEFICENTE DE LONDRINA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-30 00:00:00,2020-12-31 00:00:00,1,500000.0,0.0,0.0,0.0,0.0,500000.0
883773,Acesso Livre,PR,SAO JERONIMO DA SERRA,77329423000184,ASSOCIACAO FILANTROPICA HUMANITAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2020-12-31 00:00:00,1,100020.0,0.0,0.0,0.0,0.0,100020.0
883775,Acesso Livre,PR,RIO AZUL,80759111000115,HOSPITAL DE CARIDADE SAO FRANCISCO DE ASSIS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-10-03 00:00:00,2020-12-31 00:00:00,1,100100.0,66494.05,0.0,66657.92,0.0,33605.95
883777,Acesso Livre,PR,MALLET,78897519000101,HOSPITAL DE CARIDADE SAO PEDRO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Prestação de Contas Iniciada Por Antecipação,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-12-09 00:00:00,2021-04-03 00:00:00,1,100000.0,97822.0,97822.0,34.45,0.0,2178.0
883778,Acesso Livre,PR,CURITIBA,76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2020-12-31 00:00:00,1,100000.0,0.0,0.0,0.0,0.0,100000.0
883781,Acesso Livre,PR,CURITIBA,76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2020-12-31 00:00:00,1,250000.0,195000.0,195000.0,256.74,0.0,55000.0
883782,Acesso Livre,PR,CURITIBA,76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2021-04-09 00:00:00,1,300000.0,290500.0,290500.0,1642.01,0.0,9500.0
883783,Acesso Livre,PR,CURITIBA,76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2021-04-29 00:00:00,1,200000.0,132500.0,92500.0,40669.32,0.0,67500.0
883784,Acesso Livre,PR,CURITIBA,76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-09 00:00:00,2020-12-31 00:00:00,1,500000.0,0.0,0.0,0.0,0.0,500000.0
883785,Acesso Livre,PR,CAMPO MOURAO,80612294000141,HOSPITAL SANTA CASA DE MISERICORDIA DE CAMPO MOURAO,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-10-02 00:00:00,2020-12-31 00:00:00,1,700000.0,620178.0,80000.0,540266.66,0.0,79822.0
883787,Acesso Livre,PR,LONDRINA,78633088000176,INSTITUTO DE CANCER DE LONDRINA,CONVENIO,SIM,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Em execução,MINISTERIO DA SAUDE,Organização da Sociedade Civil,2019-09-17 00:00:00,2020-12-31 00:00:00,1,599900.0,0.0,0.0,0.0,0.0,599900.0
