Nº Convênio,Link Externo,UF,Município,CNPJ,Nome Proponente,Modalidade,Emenda,Objeto,Situação,Órgão Concedente,Natureza Jurídica,Início Vigência,Fim Vigência,Qtd Instrumentos,Vl Global,Vl Liberado,Movimentação Financeira,Saldo em Conta,Vl Devolvido
816133,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Programa de Desenvolvimento Educacional - PDE - 7ª Edição - 2014-2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,31/3/2015,30/3/2017,1,"855.302,40","855.302,40","827.500,00","0,00","46.866,82"
816134,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Projeto Formação Continuada dos Profissionais da Rede Municipal de Educação da Lapa - PR, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,19/6/2015,19/12/2016,1,"68.904,00","68.904,00","68.904,00","0,00","795,22"
816136,Acesso Livre,PR,CURITIBA,75045104000111,FUNDACAO DE PESQUISAS FLORESTAIS DO PARANA,CONVENIO,NÃO,ConjunÃ§Ã£o de esforÃ§os entre os participes visando o desenvolvimento do II Curso de especializaÃ§Ã£o em GestÃ£o de Suprimentos.,Prestação de Contas em Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,1/4/2015,31/12/2016,1,"276.953,00","168.914,91","160.728,38","0,00","9.396,69"
816141,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Treinamento de Força e Hipertrofia - 2ª Turma - 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas em Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,24/4/2015,23/4/2017,1,"208.121,00","158.854,86","155.912,53","0,00","3.028,88"
816144,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Engenharia de Software - Turma 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,13/4/2015,12/4/2017,1,"139.536,00","136.211,57","121.954,98","0,00","16.395,40"
816202,Acesso Livre,PR,ARARUNA,75359760000199,MUNICIPIO DE ARARUNA,CONTRATO DE REPASSE,NÃO,PAVIMENTAÇÃO DE RUAS,Prestação de Contas Concluída,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Administração Pública Municipal,24/9/2015,30/7/2019,1,"566.640,42","566.640,42","537.779,97","0,00","35.488,22"
816206,Acesso Livre,PR,TERRA BOA,75793786000140,MUNICIPIO DE TERRA BOA,CONTRATO DE REPASSE,NÃO,REESTRUTURAÇÃO E REFORMA DO BOSQUE MUNICIPAL ANDRÉ RICARDO DA SILVA NO MUNICÍPIO DE TERRA BOA-PR,Prestação de Contas Concluída,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Administração Pública Municipal,25/9/2015,30/5/2019,1,"295.595,60","295.595,60","251.860,46","0,00","48.985,79"
816212,Acesso Livre,PR,GUAIRA,77857183000190,MUNICIPIO DE GUAIRA,CONTRATO DE REPASSE,NÃO,Recapeamento de vias públicas urbanas no municipio de Guaíra-PR,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,24/4/2015,24/3/2017,1,"482.944,24","482.944,24","482.944,24","0,00","4.286,80"
816219,Acesso Livre,PR,TUNEIRAS DO OESTE,76247329000113,MUNICIPIO DE TUNEIRAS DO OESTE,CONTRATO DE REPASSE,NÃO,"Pavimentação, Meio fio e sarjeta (drenagem superficial) e construção de calçadas em Ruas e Avenidas do Município.",Em execução,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Administração Pública Municipal,27/4/2016,31/12/2020,1,"359.482,74","359.410,85","235.771,24","143.628,32","0,00"
816222,Acesso Livre,PR,ATALAIA,75731018000162,MUNICIPIO DE ATALAIA,CONTRATO DE REPASSE,NÃO,"Pavimentação  Asfáltica de vias que atualmente possuem os blocos intertravados  de concreto deteriorados,no Município de Atalaia-Pr, o qual a retirada dos mesmos será  realizado pelo proponente.",Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,29/12/2015,30/6/2018,1,"305.129,30","305.129,30","299.914,57","0,00","12.155,61"
816227,Acesso Livre,PR,CIDADE GAUCHA,75377200000167,MUNICIPIO DE CIDADE GAUCHA,CONTRATO DE REPASSE,NÃO,Pavimentação de vias urbanas na sede do Municipio,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,28/10/2015,30/11/2018,1,"407.311,92","407.311,92","407.311,92","0,00","6.178,40"
816228,Acesso Livre,PR,CAFEZAL DO SUL,95640652000105,MUNICIPIO DE CAFEZAL DO SUL,CONTRATO DE REPASSE,NÃO,Pavimentação de Vias Urbanas conjugadas com Microdrenagem,Prestação de Contas Concluída,MINISTERIO DAS CIDADES,Administração Pública Municipal,25/9/2015,30/1/2019,1,"408.957,24","409.000,00","408.957,24","0,00","13.378,80"
816229,Acesso Livre,PR,BARBOSA FERRAZ,76950062000126,MUNICIPIO DE BARBOSA FERRAZ,CONTRATO DE REPASSE,NÃO,IMPLANTAÇÃO DE PAVIMENTAÇÃO  EM VIAS PÚBLICAS URBANAS,Prestação de Contas Concluída,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Administração Pública Municipal,29/7/2015,30/12/2019,1,"402.862,02","402.862,02","389.484,14","0,00","29.058,38"
816269,Acesso Livre,PR,CASCAVEL,76208867000107,MUNICIPIO DE CASCAVEL,CONTRATO DE REPASSE,NÃO,Pavimentação de vias.,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,31/12/2015,31/10/2018,1,"1.980.600,00","1.980.600,00","1.884.037,15","0,00","112.275,85"
816285,Acesso Livre,PR,PEABIRU,75370148000117,MUNICIPIO DE PEABIRU,CONTRATO DE REPASSE,NÃO,"Pavimentação, recapeamento, drenagem e Calçamento de Vias Urbanas de Peabiru.",Prestação de Contas Concluída,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Administração Pública Municipal,30/9/2015,30/11/2019,1,"534.253,23","534.253,23","534.253,23","0,00","20.501,99"
816297,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Economia e Meio Ambiente - Turma 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,15/5/2015,14/5/2018,1,"498.000,10","300.908,14","296.938,04","0,00","4.151,56"
816312,Acesso Livre,PR,LUIZIANA,80888688000127,MUNICIPIO DE LUIZIANA,CONTRATO DE REPASSE,NÃO,Pavimentação Asfáltica e Recapeamento em ruas do município de Luiziana/PR.,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,3/12/2015,30/6/2018,1,"420.190,02","420.190,02","420.190,02","0,00","11.002,04"
816322,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Análise Ambiental - Turma 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas em Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,1/6/2015,1/12/2017,1,"143.725,00","108.674,57","108.152,58","0,00","1.038,25"
816326,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Prótese Dentária - 7ª Turma - 2015-2017, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,1/6/2015,1/6/2017,1,"257.870,00","206.900,00","205.906,24","0,00","4.615,17"
816336,Acesso Livre,PR,NOVA OLIMPIA,75799577000104,MUNICIPIO DE NOVA OLIMPIA,CONTRATO DE REPASSE,NÃO,Reforma da Praça do Trabalhador no Município de Nova Olímpia.,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,25/9/2015,30/11/2018,1,"350.646,24","350.646,24","350.646,24","0,00","8.747,95"
816338,Acesso Livre,PR,MANDAGUARI,76285345000109,MUNICIPIO DE MANDAGUARI,CONTRATO DE REPASSE,NÃO,Reforma e Revitalização da Praça Tiradentes.,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,28/12/2015,30/3/2019,1,"531.243,07","531.243,07","531.163,81","0,00","10.151,36"
816340,Acesso Livre,PR,GUAIRA,77857183000190,MUNICIPIO DE GUAIRA,CONTRATO DE REPASSE,NÃO,Revitalização do parque de camping e orla fluvial denominado Centro Náutico e Recreativo Marinas,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,19/5/2015,19/9/2019,1,"350.000,00","350.000,00","243.157,94","0,00","121.513,15"
816343,Acesso Livre,PR,PAICANDU,76282664000152,MUNICIPIO DE PAICANDU,CONTRATO DE REPASSE,NÃO,Implantação de sinalização turística.,Convênio Anulado,MINISTERIO DO TURISMO,Administração Pública Municipal,2/12/2015,30/1/2019,1,"250.000,00","0,00","0,00","0,00","0,00"
816344,Acesso Livre,PR,ASSAI,76290709000130,MUNICIPIO DE ASSAI,CONTRATO DE REPASSE,NÃO,Calçamento no Centro Municipal de Eventos Toyosaburo Ikeda,Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,1/7/2015,31/7/2018,1,"350.950,72","350.950,72","350.950,72","0,00","1.255,32"
816345,Acesso Livre,PR,FORMOSA DO OESTE,76208495000100,MUNICIPIO DE FORMOSA DO OESTE,CONTRATO DE REPASSE,NÃO,URBANIZAÇÃO E REVITALIZAÇÃO DE PRAÇA ENIO PIPINO.,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,24/7/2015,24/9/2018,1,"253.750,00","253.750,00","252.081,01","0,00","9.250,08"
816346,Acesso Livre,PR,ITAPEJARA D'OESTE,76995430000152,MUNICIPIO DE ITAPEJARA D'OESTE,CONTRATO DE REPASSE,NÃO,"REFORMA DO PARQUE DE EXPOSIÇÕES, LOCALIZADO NA RUA DARCI DALMOLIN.",Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,13/5/2015,13/5/2019,1,"708.000,00","708.000,00","708.000,00","0,00","13.067,02"
816355,Acesso Livre,PR,SAPOPEMA,76167733000187,MUNICIPIO DE SAPOPEMA,CONTRATO DE REPASSE,NÃO,Reforma do Terminal Rodoviário Intermunicipal,Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,30/9/2015,30/9/2018,1,"304.189,97","306.527,97","304.189,97","0,00","6.409,97"
816359,Acesso Livre,PR,SANTA IZABEL DO OESTE,76205715000142,MUNICIPIO DE SANTA IZABEL DO OESTE,CONTRATO DE REPASSE,NÃO,Remodelação da Praça das Palmeiras no Município de Santa Izabel Do Oeste - PR,Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,28/5/2015,28/2/2018,1,"609.087,00","609.087,00","609.087,00","0,00","22.563,56"
816360,Acesso Livre,PR,SANTA MARIANA,75392019000120,MUNICIPIO DE SANTA MARIANA,CONTRATO DE REPASSE,NÃO,CONSTRUÇÃO DO CINE TEATRO FÊNIX NO MUNICÍPIO DE SANTA MARIANA – PR - 1ª ETAPA.,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,18/5/2015,20/12/2018,1,"487.988,00","496.845,63","477.152,29","0,00","31.757,79"
816364,Acesso Livre,PR,PALMITAL,75680025000182,MUNICIPIO DE PALMITAL,CONTRATO DE REPASSE,NÃO,"REVITALIZAÇÃO DA AVENIDA MAXIMILIANO VICENTIN, ACESSO A PRAÇA ANTONIO BARBOSA.",Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,30/6/2015,30/10/2017,1,"304.500,00","304.500,00","304.500,00","0,00","4.112,54"
816384,Acesso Livre,PR,LAPA,76020452000105,MUNICIPIO DA LAPA,CONTRATO DE REPASSE,NÃO,Pavimentação de Via Urbana.,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,18/12/2015,30/4/2018,1,"521.366,88","520.879,14","512.415,90","0,00","30.352,84"
816385,Acesso Livre,PR,CEU AZUL,76206473000101,MUNICIPIO DE CEU AZUL,CONTRATO DE REPASSE,NÃO,Recapeamento de vias públicas urbanas.,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,19/5/2015,19/6/2017,1,"259.389,48","259.389,48","259.389,48","0,00","3.430,20"
816386,Acesso Livre,PR,CORBELIA,76208826000102,MUNICIPIO DE CORBELIA,CONTRATO DE REPASSE,NÃO,Recapeamento em Pavimentação existentes em ruas do município de Corbélia-PR,Prestação de Contas Concluída,MINISTERIO DAS CIDADES,Administração Pública Municipal,7/7/2015,7/7/2018,1,"266.919,36","266.919,36","264.109,75","0,00","7.651,83"
816393,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização MBA Inteligência de Negócios - Turma 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,22/6/2015,21/6/2017,1,"299.663,44","233.659,97","194.999,60","0,00","40.342,62"
816394,Acesso Livre,PR,UBIRATA,76950096000110,MUNICIPIO DE UBIRATA,CONTRATO DE REPASSE,NÃO,RECAPEAMENTO ASFÁLTICO,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,17/12/2015,30/6/2018,1,"305.340,25","305.340,25","305.340,25","0,00","2.087,36"
816396,Acesso Livre,PR,IMBITUVA,76175892000123,MUNICIPIO DE IMBITUVA,CONTRATO DE REPASSE,NÃO,Pavimentação Asfáltica dentro do Quadro Urbano do Município de Imbituva -Pr,Prestação de Contas Aprovada,MINISTERIO DAS CIDADES,Administração Pública Municipal,26/6/2015,30/6/2018,1,"513.613,82","513.613,82","510.920,39","0,00","14.359,36"
816400,Acesso Livre,PR,TRES BARRAS DO PARANA,78121936000168,MUNICIPIO DE TRES BARRAS DO PARANA,CONTRATO DE REPASSE,NÃO,Infraestrutura na Praia Artificial de Barra Bonita e Pavimentação Poliédrica Acesso ao Parque Estadual Rio Guarani,Prestação de Contas Aprovada,MINISTERIO DO TURISMO,Administração Pública Municipal,27/5/2015,27/10/2018,1,"688.548,97","688.548,97","688.548,97","0,00","19.067,75"
816402,Acesso Livre,PR,ITAPERUCU,95422846000126,MUNICIPIO DE ITAPERUCU,CONTRATO DE REPASSE,NÃO,"Construção de Portal, na entrada do município de Itaperuçu - PR",Convênio Anulado,MINISTERIO DO TURISMO,Administração Pública Municipal,11/12/2015,31/8/2017,1,"300.000,00","0,00","0,00","0,00","0,00"
816405,Acesso Livre,PR,SANTA AMELIA,76235746000146,MUNICIPIO DE SANTA AMELIA,CONTRATO DE REPASSE,NÃO,Revitalização da Praça Vitória Pavan e da Avenida Central.,Prestação de Contas Concluída,MINISTERIO DO TURISMO,Administração Pública Municipal,24/12/2015,31/12/2019,1,"302.558,26","302.558,26","302.558,26","0,00","7.158,22"
816413,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Projeto de Pesquisa: Estudo da Qualidade das Águas Subterrâneas do Estado do Paraná, de acordo com o Plano de Trabalho devidamente aprovado.",Convênio Anulado,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,2/7/2015,1/7/2017,1,"807.601,49","0,00","0,00","0,00","0,00"
816549,Acesso Livre,PR,RENASCENCA,76205681000196,MUNICIPIO DE RENASCENCA,CONTRATO DE REPASSE,NÃO,Aquisição de Máquinas Agrícolas.,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,26/5/2015,26/12/2016,1,"379.600,00","379.600,00","379.600,00","0,00","2.448,66"
816551,Acesso Livre,PR,PALMAS,76161181000108,MUNICIPIO DE PALMAS,CONTRATO DE REPASSE,NÃO,Aquisição de Maquinas e Equipamentos Agrícolas,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,14/9/2015,30/9/2017,1,"152.500,00","152.500,00","116.798,00","0,00","38.377,91"
816555,Acesso Livre,PR,CANDOI,95684478000194,MUNICIPIO DE CANDOI,CONTRATO DE REPASSE,NÃO,MAQUINAS E EQUIPAMENTOS AGRICOLAS,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,1/7/2015,30/7/2017,1,"379.380,00","379.380,00","379.380,00","0,00","15.677,23"
816560,Acesso Livre,PR,QUATRO PONTES,95719381000170,MUNICIPIO DE QUATRO PONTES,CONTRATO DE REPASSE,NÃO,Aquisição Máquina Carregadeira,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,10/8/2015,1/4/2017,1,"327.500,00","327.500,00","327.500,00","0,00","2.973,65"
816723,Acesso Livre,PR,TUPASSI,77877116000138,MUNICIPIO DE TUPASSI,CONTRATO DE REPASSE,NÃO,Pavimentação Poliédrica em Estrada Rural,Prestação de Contas Concluída,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,22/12/2015,22/11/2018,1,"305.418,98","305.418,98","305.418,98","0,00","10.048,00"
816741,Acesso Livre,PR,MARECHAL CANDIDO RONDON,76205814000124,MUNICIPIO DE MARECHAL CANDIDO RONDON,CONTRATO DE REPASSE,NÃO,Aquisição de Equipamentos Agropecuários - Patrulha Agricola,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,23/12/2015,23/9/2017,1,"204.020,00","204.020,00","204.020,00","0,00","5.767,99"
816755,Acesso Livre,PR,SANTA IZABEL DO OESTE,76205715000142,MUNICIPIO DE SANTA IZABEL DO OESTE,CONTRATO DE REPASSE,NÃO,Aquisição de Pá Carregadeira nova,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,1/10/2015,1/10/2016,1,"330.000,00","330.000,00","330.000,00","0,00","1.927,45"
816756,Acesso Livre,PR,ANGULO,95642286000115,MUNICIPIO DE ANGULO,CONTRATO DE REPASSE,NÃO,Maquinas e Equipamentos Agrícolas,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,30/12/2015,30/10/2018,1,"245.000,00","245.000,00","245.000,00","0,00","423,03"
816780,Acesso Livre,PR,ENTRE RIOS DO OESTE,95719449000110,MUNICIPIO DE ENTRE RIOS DO OESTE,CONTRATO DE REPASSE,NÃO,pavimentação poliédrica em estrada rural do município de Entre Rios do Oeste.,Prestação de Contas Concluída,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,22/10/2015,22/6/2018,1,"397.549,42","397.549,42","397.549,42","0,00","7.388,90"
816783,Acesso Livre,PR,QUEDAS DO IGUACU,76205962000149,MUNICIPIO DE QUEDAS DO IGUACU,CONTRATO DE REPASSE,NÃO,Aquisição de um Trator Agrícola,Prestação de Contas Concluída,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,15/12/2015,15/11/2017,1,"101.000,00","101.000,00","97.990,00","0,00","5.363,11"
816785,Acesso Livre,PR,IBEMA,80881931000185,MUNICIPIO DE IBEMA,CONTRATO DE REPASSE,NÃO,Aquisição de Máquina e Equipamentos,Prestação de Contas Aprovada,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,23/9/2015,23/9/2016,1,"146.396,40","146.396,40","146.396,40","0,00","271,08"
